title,price,description,stockQuantity,imageUrl,dateAddedToStock,dateRemovedFromStock
Dill Pickle Chips,627.49,Crispy dill pickles that are perfect for snacking or sandwiches.,453,http://dummyimage.com/134x100.png/cc0000/ffffff,17-11-2022,
Laptop Stand,76.61,Adjustable laptop stand for better ergonomics.,893,http://dummyimage.com/130x100.png/cc0000/ffffff,26-03-2025,
Sesame Noodles,370.11,"Chilled noodles dressed in sesame sauce, ready to eat.",266,http://dummyimage.com/219x100.png/5fa2dd/ffffff,09-10-2023,
Herbal Tea Sampler Box,401.87,Assorted collection of herbal teas for relaxation and wellness.,244,http://dummyimage.com/173x100.png/dddddd/000000,02-03-2023,
Magnetic Screen Door,210.81,Keep bugs out while allowing fresh air in during summer.,708,http://dummyimage.com/244x100.png/cc0000/ffffff,18-06-2020,
Mini Indoor Herb Garden Kit,320.26,All-in-one kit for growing herbs in your kitchen.,89,http://dummyimage.com/157x100.png/ff4444/ffffff,17-10-2023,
Hair Dryer,309.27,Compact hair dryer with multiple heat settings.,349,http://dummyimage.com/231x100.png/ff4444/ffffff,02-08-2024,
Nut Mix,675.05,A blend of mixed nuts for snacking.,319,http://dummyimage.com/240x100.png/ff4444/ffffff,06-11-2023,
Toy Building Set,305.33,Creative building set for kids to spark imagination.,46,http://dummyimage.com/215x100.png/ff4444/ffffff,12-08-2021,
Adjustable Skipping Rope,797.9,Durable skipping rope with adjustable length for workouts.,211,http://dummyimage.com/131x100.png/cc0000/ffffff,20-03-2023,
Almond Flour Tortillas,570.75,"Gluten-free tortillas made from almond flour, perfect for various wraps and meals.",887,http://dummyimage.com/165x100.png/ff4444/ffffff,09-06-2024,
Travel Mug,31.89,Stainless steel travel mug with spill-proof lid.,668,http://dummyimage.com/148x100.png/ff4444/ffffff,07-03-2022,
Pet Bed with Removable Cover,505.86,Comfy pet bed with washable cover for easy cleaning.,115,http://dummyimage.com/162x100.png/ff4444/ffffff,11-07-2023,
Oven-Baked Chicken Tenders,732.18,"Crispy and juicy chicken tenders, perfect for dipping.",743,http://dummyimage.com/125x100.png/ff4444/ffffff,01-07-2022,
Puzzle Mat,323.5,Foldable mat for jigsaw puzzle assembly.,288,http://dummyimage.com/226x100.png/5fa2dd/ffffff,13-10-2020,
Ground Cinnamon,540.37,Freshly ground cinnamon spice for baking or seasoning.,869,http://dummyimage.com/153x100.png/ff4444/ffffff,23-07-2022,
Indoor Grill,576.46,Electric indoor grill for quick meals.,984,http://dummyimage.com/223x100.png/5fa2dd/ffffff,15-10-2024,
Fruit & Nut Trail Mix,877.01,"A blend of dried fruits and nuts, great for snacking.",390,http://dummyimage.com/113x100.png/cc0000/ffffff,11-06-2022,
Honey Garlic Shrimp,694.47,"Shrimp marinated in a honey garlic sauce, ready to cook.",838,http://dummyimage.com/229x100.png/dddddd/000000,24-10-2024,
Scent Diffuser Oil,384.84,Essential oil blends for a soothing atmosphere in your home.,942,http://dummyimage.com/195x100.png/5fa2dd/ffffff,30-06-2020,
Beef Tacos,337.99,"Pre-seasoned beef mix for delicious tacos, just heat and serve.",857,http://dummyimage.com/228x100.png/cc0000/ffffff,03-03-2025,
Silicone Cooking Utensils Set,326.74,Non-stick and heat-resistant utensils for cooking.,651,http://dummyimage.com/157x100.png/5fa2dd/ffffff,29-08-2020,
Silicone Cooking Utensils Set,75.56,Non-stick and heat-resistant utensils for cooking.,430,http://dummyimage.com/128x100.png/ff4444/ffffff,08-11-2021,
Elegant Lace Dress,757.45,A stunning lace dress perfect for special occasions.,367,http://dummyimage.com/236x100.png/5fa2dd/ffffff,17-07-2024,
Ginger Turmeric Shots,370.71,Ready-to-drink shots made with fresh ginger and turmeric.,243,http://dummyimage.com/205x100.png/5fa2dd/ffffff,13-09-2024,
Vegan Taco Seasoning,965.8,Spice blend for creating flavorful vegan taco filling.,711,http://dummyimage.com/102x100.png/5fa2dd/ffffff,04-09-2021,
LED Disco Ball Light,921.6,Fun light that creates a disco atmosphere for parties.,812,http://dummyimage.com/154x100.png/cc0000/ffffff,22-12-2020,
Organic Apples,961.8,Crisp and delicious organic apples.,92,http://dummyimage.com/129x100.png/5fa2dd/ffffff,28-04-2023,
Mediterranean Couscous Salad,513.69,"Couscous salad with cucumbers, tomatoes, feta, and olives, ready to eat.",706,http://dummyimage.com/198x100.png/5fa2dd/ffffff,30-01-2021,
Dried Mango Slices,640.3,"Sweet and chewy dried mango slices, perfect for snacking.",809,http://dummyimage.com/245x100.png/dddddd/000000,23-01-2024,
Ceramic Cookware Set,945.35,Durable and non-stick ceramic cookware for healthy cooking.,69,http://dummyimage.com/149x100.png/dddddd/000000,09-02-2025,
Garden Hoses with Expandable Features,451.13,"Lightweight, expandable hoses for easy handling.",953,http://dummyimage.com/118x100.png/5fa2dd/ffffff,07-12-2023,
Balsamic Vinaigrette,138.94,Rich and tangy dressing perfect for salads.,447,http://dummyimage.com/229x100.png/dddddd/000000,09-06-2020,
Slim Wallet,175.3,RFID-blocking slim wallet for cards and cash.,757,http://dummyimage.com/225x100.png/ff4444/ffffff,07-06-2022,
Fitness Balance Ball,729.86,Stability ball for Pilates and yoga workouts.,355,http://dummyimage.com/161x100.png/ff4444/ffffff,25-12-2020,
Insulated Lunch Bag,519.76,Stylish insulated lunch bag for on-the-go meals.,39,http://dummyimage.com/129x100.png/dddddd/000000,16-04-2021,
Cacao Powder,734.47,Unsweetened cacao powder for baking and smoothies.,742,http://dummyimage.com/232x100.png/dddddd/000000,22-12-2022,
Almond Butter Crunch Bar,37.2,Nutritious snack bar made with almond butter and protein.,915,http://dummyimage.com/244x100.png/5fa2dd/ffffff,17-03-2023,
Toasted Coconut Granola,212.67,"Crunchy granola with toasted coconut flakes, perfect for breakfast or snacks.",609,http://dummyimage.com/193x100.png/cc0000/ffffff,05-03-2023,
Electric Bike,68.44,Eco-friendly electric bike with a 30-mile range.,483,http://dummyimage.com/224x100.png/dddddd/000000,15-03-2021,
Sweet Potato Tots,733.1,"Crispy sweet potato bites, delicious as a side or snack.",862,http://dummyimage.com/158x100.png/ff4444/ffffff,01-08-2021,
Infrared Space Heater,675.36,Energy-efficient infrared heater for home use.,519,http://dummyimage.com/138x100.png/ff4444/ffffff,11-02-2024,
Bicycle Lock,981.11,Heavy-duty bicycle lock for security.,45,http://dummyimage.com/105x100.png/5fa2dd/ffffff,26-03-2021,
Cinnamon Roll Protein Bar,826.28,Soft and chewy bar packed with protein and cinnamon flavors.,304,http://dummyimage.com/157x100.png/cc0000/ffffff,15-10-2021,
Peanut Butter Banana Smoothie,72.57,Smooth and creamy smoothie made with peanut butter and banana.,193,http://dummyimage.com/228x100.png/dddddd/000000,11-05-2020,
Electric Screwdriver,942.44,Cordless electric screwdriver for home projects.,447,http://dummyimage.com/200x100.png/ff4444/ffffff,05-07-2022,
Spicy Roasted Nuts,349.2,"A mix of nuts roasted with spicy seasonings, perfect for snacking.",104,http://dummyimage.com/123x100.png/ff4444/ffffff,29-06-2023,
Solar String Lights,760.53,Eco-friendly string lights for outdoor decor.,269,http://dummyimage.com/118x100.png/cc0000/ffffff,12-12-2024,
Portable SSD,318.98,"Fast and compact external solid state drive, 1TB.",112,http://dummyimage.com/183x100.png/5fa2dd/ffffff,15-02-2023,
Air Fryer Oven,327.99,"Versatile air fryer that also roasts, bakes, and broils.",846,http://dummyimage.com/113x100.png/5fa2dd/ffffff,09-01-2022,
Blender Bottle,805.46,Portable mixer bottle for smoothies and protein shakes.,139,http://dummyimage.com/232x100.png/ff4444/ffffff,04-07-2024,
Portable Pet Bathing Tool,274.98,Handheld sprayer designed for washing pets easily.,684,http://dummyimage.com/204x100.png/5fa2dd/ffffff,22-07-2023,
High-Pressure Handheld Shower Head,623.86,Shower head designed for a strong spray and complete coverage.,468,http://dummyimage.com/121x100.png/cc0000/ffffff,07-08-2021,
Cotton Basic Tank,71.92,"Essential cotton tank top, perfect for layering.",234,http://dummyimage.com/224x100.png/cc0000/ffffff,29-08-2023,
Honey,694.84,"Pure and natural honey, great for sweetening.",859,http://dummyimage.com/192x100.png/cc0000/ffffff,11-12-2022,11-12-2023
Roasted Garlic Butter,572.45,A flavorful spread made with roasted garlic and creamy butter.,516,http://dummyimage.com/131x100.png/cc0000/ffffff,03-09-2024,
Blackberry Jam,959.81,Delicious homemade style blackberry jam.,739,http://dummyimage.com/179x100.png/5fa2dd/ffffff,11-09-2020,
Smartphone Tripod with Remote,334.98,Adjustable tripod with remote shutter for smartphones.,155,http://dummyimage.com/166x100.png/5fa2dd/ffffff,31-12-2020,
Kids' Building Blocks,461.56,Colorful building blocks for creative play.,105,http://dummyimage.com/142x100.png/cc0000/ffffff,11-04-2020,11-01-2021
Wireless Earbuds Case,956.61,Protective case for wireless earbuds.,325,http://dummyimage.com/231x100.png/ff4444/ffffff,14-04-2020,
Car Vacuum,451.04,Portable car vacuum cleaner with strong suction.,703,http://dummyimage.com/186x100.png/dddddd/000000,20-06-2024,
Over-The-Door Shoe Organizer,157.78,Space-saving shoe organizer for tight spaces.,83,http://dummyimage.com/157x100.png/5fa2dd/ffffff,30-12-2021,30-11-2022
Samoas Cookie Mix,520.85,Baking mix to create your favorite Samoa-style cookies at home.,608,http://dummyimage.com/238x100.png/5fa2dd/ffffff,09-11-2023,
Rice Cakes,604.04,"Light and crispy rice cakes, a perfect low-calorie snack.",462,http://dummyimage.com/158x100.png/ff4444/ffffff,11-10-2020,
Peach Green Tea,302.42,"Refreshing green tea infused with peach, perfect for a hot day.",99,http://dummyimage.com/121x100.png/dddddd/000000,14-12-2022,
Pet Food Storage Container,496.82,Airtight container to keep pet food fresh.,269,http://dummyimage.com/189x100.png/dddddd/000000,03-05-2023,
Portable Leaf Blower,400.35,Lightweight leaf blower for maintaining outdoor spaces.,723,http://dummyimage.com/178x100.png/cc0000/ffffff,19-01-2021,
Spicy Tuna Sushi Kit,863.72,Everything you need to make delicious spicy tuna rolls at home.,470,http://dummyimage.com/110x100.png/dddddd/000000,15-06-2020,
Coconut Curry Sauce,403.85,A flavorful sauce made with coconut milk and spices.,973,http://dummyimage.com/203x100.png/cc0000/ffffff,24-07-2024,
Garlic Butter Sauce,649.3,A rich sauce perfect for pasta or drizzling over vegetables.,343,http://dummyimage.com/238x100.png/5fa2dd/ffffff,05-10-2023,
Digital Alarm Clock,787.87,Snooze function and LED display for easy reading.,33,http://dummyimage.com/122x100.png/cc0000/ffffff,28-05-2022,
Foldable Electric Scooter,256.37,Compact electric scooter for commuting and short trips.,553,http://dummyimage.com/190x100.png/cc0000/ffffff,20-05-2020,
Garlic Naan Bread,699.62,"Soft and delicious garlic-infused flatbread, perfect for dipping.",778,http://dummyimage.com/146x100.png/dddddd/000000,25-11-2024,
Cinnamon Sugar Tortilla Chips,428.01,"Crispy chips with a sweet twist, perfect for dipping.",853,http://dummyimage.com/194x100.png/ff4444/ffffff,21-09-2024,
Organic Coconut Flour,612.79,Finely ground flour from dried coconut meat.,280,http://dummyimage.com/132x100.png/cc0000/ffffff,08-12-2021,
Travel Hair Straightener,267.79,Compact hair straightener for travel.,987,http://dummyimage.com/223x100.png/5fa2dd/ffffff,01-11-2023,
Italian Marinara Sauce,542.58,"Classic marinara sauce for pasta, pizza, or dipping.",529,http://dummyimage.com/132x100.png/5fa2dd/ffffff,02-04-2021,
Fresh Strawberries,730.95,"Sweet and juicy strawberries, perfect for desserts.",108,http://dummyimage.com/174x100.png/cc0000/ffffff,09-03-2021,
Foldable Yoga Mat Carry Bag,192.63,Durable bag for carrying your yoga mat and accessories.,171,http://dummyimage.com/100x100.png/ff4444/ffffff,25-02-2023,
Frozen Acai Bowl,597.08,Healthy frozen acai bowl with toppings.,22,http://dummyimage.com/107x100.png/cc0000/ffffff,15-01-2024,
Air Mattress,577.72,Inflatable air mattress for convenient sleeping.,81,http://dummyimage.com/206x100.png/dddddd/000000,05-10-2022,
Adjustable Laptop Desk,738.09,Portable desk that can be adjusted for sitting or standing.,101,http://dummyimage.com/226x100.png/dddddd/000000,14-08-2020,
Oven-Baked Sweet Potato Fries,834.42,"Crispy sweet potato fries, perfectly seasoned and baked to perfection.",109,http://dummyimage.com/216x100.png/5fa2dd/ffffff,24-05-2021,
Roasted Garlic Aioli,909.67,Flavored aioli made with roasted garlic,151,http://dummyimage.com/162x100.png/dddddd/000000,07-02-2021,
Sriracha Sauce,192.28,Spicy chili sauce for an extra kick in your meals.,883,http://dummyimage.com/198x100.png/5fa2dd/ffffff,10-12-2020,
Comfy Slippers,126.95,Soft and cozy slippers for indoor wear.,88,http://dummyimage.com/223x100.png/ff4444/ffffff,09-08-2020,
Savory Breakfast Sausage,377.09,"Frozen sausage patties made with herbs and spices, perfect for breakfast sandwiches.",890,http://dummyimage.com/154x100.png/ff4444/ffffff,13-12-2022,
Cucumber Relish,857.84,"Sweet relish made from cucumbers, perfect for sandwiches.",857,http://dummyimage.com/223x100.png/dddddd/000000,30-06-2021,
Fettuccine Alfredo Dinner Kit,307.12,Easy meal kit for creamy fettuccine Alfredo.,788,http://dummyimage.com/185x100.png/cc0000/ffffff,02-11-2023,
Handheld Garment Steamer,399.16,Quick and easy way to remove wrinkles from clothes.,547,http://dummyimage.com/148x100.png/5fa2dd/ffffff,12-09-2024,
Avocado Lime Dressing,100.22,"Refreshing dressing made with avocado and lime, perfect for salads.",594,http://dummyimage.com/136x100.png/ff4444/ffffff,09-03-2024,09-12-2024
Pumpkin Spice Creamer,402.2,A seasonal creamer that adds pumpkin spice flavor to coffee or tea.,451,http://dummyimage.com/228x100.png/dddddd/000000,08-07-2022,
Himalayan Salt Grinder,733.65,"Natural pink salt, perfect for seasoning.",224,http://dummyimage.com/199x100.png/ff4444/ffffff,17-11-2020,17-03-2021
Biodegradable Trash Bags,415.12,Eco-friendly trash bags that break down naturally.,906,http://dummyimage.com/102x100.png/ff4444/ffffff,10-01-2022,
Red Lentils,622.42,Nutritious and quick-cooking red lentils.,53,http://dummyimage.com/211x100.png/ff4444/ffffff,21-11-2023,
Adjustable Dumbbells,94.8,Space-saving adjustable dumbbells for strength training.,682,http://dummyimage.com/116x100.png/5fa2dd/ffffff,23-11-2022,
Sweet Potatoes (organic),287.29,"Fresh organic sweet potatoes, great for roasting or mashing.",797,http://dummyimage.com/166x100.png/5fa2dd/ffffff,17-03-2024,
Smart Home Hub,19.38,Connect and control smart devices from one app.,90,http://dummyimage.com/186x100.png/5fa2dd/ffffff,28-10-2022,
Ginger Tea,888.97,A soothing herbal tea made from ginger root.,580,http://dummyimage.com/241x100.png/5fa2dd/ffffff,10-09-2024,10-10-2024
Mediterranean Flatbread,694.95,"Artisan bread topped with olives, feta, and herbs, perfect for sharing.",139,http://dummyimage.com/126x100.png/ff4444/ffffff,11-01-2021,
Self-Cleaning Water Bottle,188.71,Water bottle with built-in UV-C light for self-cleaning.,698,http://dummyimage.com/143x100.png/dddddd/000000,27-09-2022,
Chili Lime Corn Chips,924.66,Crunchy corn chips flavored with chili and lime for a zesty kick.,695,http://dummyimage.com/162x100.png/ff4444/ffffff,21-07-2023,
Beach Cover-Up,302.07,"Lightweight cover-up perfect for the beach, with a breezy design.",203,http://dummyimage.com/163x100.png/cc0000/ffffff,05-02-2022,
Pepper Jack Cheese Slices,932.49,"Creamy cheese with a spicy kick, perfect for sandwiches.",355,http://dummyimage.com/123x100.png/ff4444/ffffff,24-01-2024,24-12-2024
Crispy Potato Tots,614.66,"Golden brown potato tots, crispy on the outside and fluffy inside.",310,http://dummyimage.com/143x100.png/5fa2dd/ffffff,16-07-2024,
Garlic Butter Shrimp,240.0,"Frozen shrimp sautéed in garlic butter, ready to thaw and serve over pasta or rice.",117,http://dummyimage.com/210x100.png/ff4444/ffffff,23-02-2025,
Wireless Gaming Mouse,829.14,Ergonomic mouse designed for gamers with high DPI.,554,http://dummyimage.com/230x100.png/dddddd/000000,05-03-2022,
Italian Sausage and Peppers,753.95,A flavorful blend of Italian sausage with sautéed peppers and onions.,54,http://dummyimage.com/222x100.png/dddddd/000000,22-03-2025,
Organic Black Bean Burger,467.16,Delicious plant-based burger made with organic black beans and spices.,589,http://dummyimage.com/203x100.png/5fa2dd/ffffff,30-12-2022,
Freestanding Wine Rack,349.73,Stylish wine rack to store and display bottles.,37,http://dummyimage.com/117x100.png/5fa2dd/ffffff,13-12-2022,
Egg Noodles,260.23,"Wide egg noodles, perfect for casseroles and soups.",978,http://dummyimage.com/240x100.png/cc0000/ffffff,14-06-2022,
Radish Chips,887.76,"Crispy baked radish chips, a healthy snack alternative.",822,http://dummyimage.com/125x100.png/cc0000/ffffff,24-02-2024,
Organic Green Lentils,5.73,"Nutty flavored lentils, perfect for soups and salads.",465,http://dummyimage.com/188x100.png/dddddd/000000,01-02-2025,
Maxi Wrap Dress,518.42,A flowy maxi dress perfect for both casual and semi-formal occasions.,114,http://dummyimage.com/192x100.png/cc0000/ffffff,22-03-2022,
Smartphone Holder for Car,7.59,Secure phone mount for your vehicle's dashboard.,321,http://dummyimage.com/195x100.png/dddddd/000000,02-02-2024,
Sweet and Sour Sauce,910.72,Perfect dipping sauce or stir-fry addition for a sweet and tangy flavor.,278,http://dummyimage.com/166x100.png/dddddd/000000,18-02-2024,
Dried Apricots,631.47,"Sweet, chewy dried apricots, great for snacking or baking.",218,http://dummyimage.com/136x100.png/ff4444/ffffff,25-06-2020,
Lightweight Rain Jacket,53.44,"Water-resistant jacket ideal for outdoor activities, featuring a packable design.",126,http://dummyimage.com/231x100.png/dddddd/000000,06-09-2023,
Portable Air Pump,270.61,Compact pump ideal for inflating sports equipment or rafts.,15,http://dummyimage.com/202x100.png/dddddd/000000,01-09-2021,
Blueberry Muffin Mix,193.39,Make delightful blueberry muffins at home with this easy mix.,568,http://dummyimage.com/127x100.png/cc0000/ffffff,05-05-2021,
Magnetic Screen Door,703.66,Keep bugs out while allowing fresh air in during summer.,107,http://dummyimage.com/101x100.png/ff4444/ffffff,13-10-2021,
Gardening Gloves with Claws,79.64,Durable gloves with built-in claws for digging and planting.,486,http://dummyimage.com/113x100.png/ff4444/ffffff,05-10-2020,
Portable Blender,112.02,Battery-operated blender for smoothies on the go.,420,http://dummyimage.com/138x100.png/cc0000/ffffff,07-01-2025,
Mango Chutney,395.08,Sweet and tangy mango chutney for a flavorful dip.,406,http://dummyimage.com/128x100.png/5fa2dd/ffffff,12-03-2022,
Diced Tomatoes (canned),803.87,"Canned diced tomatoes, great base for sauces and soups.",491,http://dummyimage.com/207x100.png/cc0000/ffffff,15-11-2023,
Insulated Coffee Mug,914.55,Double-walled mug to keep your drink hot for longer.,154,http://dummyimage.com/150x100.png/5fa2dd/ffffff,26-09-2022,26-05-2023
Mint Chocolate Chip Ice Cream,620.68,Creamy ice cream with refreshing mint flavor and chocolate chips.,888,http://dummyimage.com/139x100.png/dddddd/000000,26-10-2022,
Banana Peanut Butter Smoothie,915.01,Frozen smoothie mix with bananas and peanut butter for a quick drink.,82,http://dummyimage.com/160x100.png/5fa2dd/ffffff,30-03-2025,
Mini Fondue Set,353.43,Complete fondue set for chocolate and cheese parties.,137,http://dummyimage.com/217x100.png/5fa2dd/ffffff,20-04-2023,
Multifunctional Baby Bottle Warmer,129.97,Warmer for heating baby bottles and food jars.,53,http://dummyimage.com/207x100.png/dddddd/000000,25-06-2023,
Computer Monitor Stand,479.82,Ergonomic monitor stand for improved workspace organization.,840,http://dummyimage.com/106x100.png/5fa2dd/ffffff,25-07-2023,25-09-2023
Biodegradable Dog Waste Bags,163.37,Eco-friendly bags for picking up after your pet.,518,http://dummyimage.com/125x100.png/ff4444/ffffff,20-04-2021,
Organic Cucumber,555.07,Fresh organic cucumber perfect for salads or snacking.,617,http://dummyimage.com/187x100.png/cc0000/ffffff,15-01-2021,15-12-2021
Veggie Lovers Pizza,140.25,Frozen pizza loaded with fresh vegetables and mozzarella cheese.,340,http://dummyimage.com/216x100.png/cc0000/ffffff,17-11-2022,
Children's Backpack,990.55,Stylish and functional backpack for school or trips.,562,http://dummyimage.com/125x100.png/ff4444/ffffff,21-11-2023,
Sour Cream,225.44,"Tangy sour cream, perfect for dips and toppings.",802,http://dummyimage.com/190x100.png/cc0000/ffffff,13-04-2021,
Portable Bluetooth Keyboard,114.32,Compact keyboard for tablets and smartphones.,249,http://dummyimage.com/221x100.png/cc0000/ffffff,06-04-2024,
Deluxe First Aid Kit,205.66,Comprehensive first aid kit for home and travel.,915,http://dummyimage.com/163x100.png/5fa2dd/ffffff,22-05-2021,
Sesame Garlic Stir-Fry Sauce,817.15,A flavorful sauce for stir-frying vegetables and meats.,801,http://dummyimage.com/160x100.png/5fa2dd/ffffff,09-01-2021,
Pineapple Teriyaki Chicken Mix,950.0,A perfect blend of pineapple and teriyaki for stir-fry.,409,http://dummyimage.com/115x100.png/cc0000/ffffff,23-04-2020,
Sweet Potato Fries,42.42,"Crispy sweet potato fries, a delicious side dish.",441,http://dummyimage.com/124x100.png/5fa2dd/ffffff,10-10-2022,
Smart Thermos,837.33,Thermos that tracks your water intake and temperature.,794,http://dummyimage.com/227x100.png/5fa2dd/ffffff,10-09-2024,
Apple Cinnamon Breakfast Muffins,143.97,Delicious muffins filled with apples and a hint of cinnamon for breakfast.,370,http://dummyimage.com/223x100.png/ff4444/ffffff,31-10-2022,
Athletic Jogging Jacket,277.43,Designed for comfort and performance during workouts.,173,http://dummyimage.com/124x100.png/cc0000/ffffff,24-04-2022,
Floral Wrap Top,670.83,A feminine wrap top with a beautiful floral print.,913,http://dummyimage.com/180x100.png/5fa2dd/ffffff,30-03-2025,
Antique Style Clock,567.78,Nostalgic clock that adds charm to any room.,488,http://dummyimage.com/150x100.png/cc0000/ffffff,17-11-2022,
Collapsible Pet Dog Bowl,127.61,Travel-friendly dog bowl that is collapsible for easy storage.,72,http://dummyimage.com/168x100.png/cc0000/ffffff,27-06-2022,
Inflatable Paddle Board,294.98,Lightweight and portable paddle board for water sports.,43,http://dummyimage.com/132x100.png/ff4444/ffffff,31-03-2022,
Sourdough Bread,473.54,Artisan-made sourdough bread with a tangy flavor.,263,http://dummyimage.com/170x100.png/5fa2dd/ffffff,04-08-2021,
Wireless Security Camera,913.04,1080p wireless security camera with night vision.,824,http://dummyimage.com/152x100.png/ff4444/ffffff,15-02-2023,
Fishing Tackle Box,230.91,Organized tackle box for fishing gear.,435,http://dummyimage.com/182x100.png/5fa2dd/ffffff,25-08-2024,
Canvas High-Top Sneakers,474.04,Trendy high-top canvas sneakers for a stylish streetwear look.,150,http://dummyimage.com/162x100.png/dddddd/000000,27-01-2024,
Maple Almond Granola,767.8,Crunchy granola with maple flavor and almond pieces for breakfast.,237,http://dummyimage.com/217x100.png/dddddd/000000,17-10-2023,
Frozen Acai Purée,34.73,Unsweetened frozen acai purée for smoothies and bowls.,685,http://dummyimage.com/197x100.png/ff4444/ffffff,16-10-2020,
Self-Watering Planter,92.92,Planter with self-watering feature for easy plant care.,880,http://dummyimage.com/241x100.png/5fa2dd/ffffff,21-01-2025,
Warm Wool Sweater,355.99,Cozy wool sweater to keep you warm on chilly days.,788,http://dummyimage.com/163x100.png/cc0000/ffffff,21-03-2024,
Basil Tomato Soup,462.2,"Rich tomato soup flavored with fresh basil, ready to heat up.",13,http://dummyimage.com/228x100.png/5fa2dd/ffffff,09-04-2021,
Natural Soy Candles,197.07,Eco-friendly soy candles with a variety of scents.,190,http://dummyimage.com/163x100.png/dddddd/000000,02-06-2024,
Wooden Children's Play Kitchen,569.09,Interactive kitchen set for imaginative play.,817,http://dummyimage.com/222x100.png/ff4444/ffffff,30-06-2022,
Multi-Layer Food Steamer,745.17,Stackable steamers for healthy cooking of vegetables and seafood.,646,http://dummyimage.com/198x100.png/ff4444/ffffff,03-11-2024,
Bamboo Cutting Board,28.05,Eco-friendly bamboo cutting board for food prep.,487,http://dummyimage.com/169x100.png/ff4444/ffffff,23-07-2023,
Ceramic Bakeware Set,37.16,Durable ceramic bakeware for casseroles and desserts.,228,http://dummyimage.com/128x100.png/cc0000/ffffff,12-09-2021,
Customizable Photo Calendar,803.47,Personalized calendar with your favorite photos.,134,http://dummyimage.com/186x100.png/dddddd/000000,19-10-2022,
Puzzle Game Set,457.9,Challenging puzzle game set for family entertainment.,298,http://dummyimage.com/140x100.png/ff4444/ffffff,29-12-2020,
Animal Paw Print Soap Dispenser,1.33,Cute dispenser for bathrooms or kitchens featuring paw prints.,733,http://dummyimage.com/104x100.png/5fa2dd/ffffff,03-06-2022,
Frozen Cauliflower Rice,574.15,Convenient and low-carb alternative to traditional rice.,249,http://dummyimage.com/185x100.png/5fa2dd/ffffff,19-11-2023,
Drone,982.71,Beginner-friendly drone with HD camera.,133,http://dummyimage.com/241x100.png/cc0000/ffffff,15-11-2021,
Garden Hoses with Expandable Features,785.02,"Lightweight, expandable hoses for easy handling.",53,http://dummyimage.com/173x100.png/5fa2dd/ffffff,17-02-2025,17-08-2025
Honey Sesame Cashews,779.22,Roasted cashews coated in honey and sesame seeds for a sweet treat.,219,http://dummyimage.com/135x100.png/5fa2dd/ffffff,23-06-2023,
Mobile Workbench,386.25,Sturdy mobile workbench with storage options.,541,http://dummyimage.com/109x100.png/5fa2dd/ffffff,08-06-2020,
Ski Goggles,249.11,Anti-fog ski goggles for winter sports.,824,http://dummyimage.com/190x100.png/ff4444/ffffff,07-12-2020,
Fleece Throw Blanket,645.09,"Super soft fleece blanket, perfect for coziness.",692,http://dummyimage.com/220x100.png/ff4444/ffffff,07-11-2021,
Honey Wheat Pretzels,275.7,Crunchy pretzel sticks made with honey and whole wheat.,843,http://dummyimage.com/250x100.png/5fa2dd/ffffff,12-07-2024,
Teriyaki Chicken Wings,699.07,Flavorful chicken wings marinated in a sweet teriyaki glaze.,113,http://dummyimage.com/133x100.png/5fa2dd/ffffff,26-05-2020,
Sparkling Blood Orange Soda,343.2,A refreshing sparkling beverage with a bold blood orange flavor.,652,http://dummyimage.com/112x100.png/ff4444/ffffff,21-04-2022,
Outdoor Camping Lantern,735.39,Rechargeable LED lantern ideal for camping and outdoor activities.,376,http://dummyimage.com/122x100.png/ff4444/ffffff,24-03-2021,
Luxury Bath Robe,651.97,Soft and plush robe for comfort after the shower.,340,http://dummyimage.com/151x100.png/ff4444/ffffff,18-05-2022,
Induction Cooktop,819.58,Portable induction cooktop for quick heating.,843,http://dummyimage.com/182x100.png/ff4444/ffffff,09-07-2021,
Mango Chilli Sauce,435.0,A sweet and spicy sauce for dipping or glazing.,909,http://dummyimage.com/192x100.png/cc0000/ffffff,29-05-2024,
Portable Pet Pooper Scooper,925.77,Compact scooper for easy waste clean-up during walks.,266,http://dummyimage.com/199x100.png/dddddd/000000,01-02-2023,
Instant Camera,760.77,Retro instant camera for capturing and printing photos instantly.,635,http://dummyimage.com/152x100.png/dddddd/000000,17-12-2021,
Dog Training Whistle,203.64,High-frequency whistle for training your dog effectively.,184,http://dummyimage.com/153x100.png/ff4444/ffffff,26-08-2023,26-12-2023
Cauliflower Rice Stir-Fry,820.46,Frozen cauliflower rice blended with mixed vegetables and seasonings.,389,http://dummyimage.com/248x100.png/dddddd/000000,05-06-2022,
Thermostatic Shower Valve Kit,28.83,Regulate water temperature for safe and comfortable showers.,80,http://dummyimage.com/180x100.png/dddddd/000000,29-04-2024,
Chickpea Salad,613.76,A ready-to-eat salad made with chickpeas and veggies.,622,http://dummyimage.com/149x100.png/5fa2dd/ffffff,27-08-2020,
Bluetooth Tracker,43.32,Smart tracker to locate keys or other items via app.,943,http://dummyimage.com/225x100.png/cc0000/ffffff,24-04-2024,
Basmati Rice,373.19,"Aromatic long-grain basmati rice, perfect for curries.",498,http://dummyimage.com/250x100.png/ff4444/ffffff,23-12-2023,
Pecan Pie Filling,21.87,Sweet and nutty filling for delicious homemade pecan pie.,194,http://dummyimage.com/100x100.png/ff4444/ffffff,03-06-2023,
